"EstacaoAno"	"Regiao"	"PhChuva"	"MediaUmidadeAr_%"	"Temperatura_C"	"Temperatura_CAT"	"Localidade"	"VolumeChuva_mm/h"	"IntensidadeVento_km/h"	"IntensidadeVento_CAT"	"AlertaDefesaCivil"	"PhChuva_Cat"	"IntensidadeChuva"	"NumeroVitimas"
"Verao"	"Norte"	3	17.271382113483742	-13	"Baixa"	"Rural"	12	11	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	152
"Verao"	"Norte"	13	11.105193733394987	24	"Alta"	"Rural"	13	16	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	162
"Outono"	"Norte"	13	17.75985875201446	-6	"Baixa"	"Rural"	12	4	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	177
"Outono"	"Centro-Oeste"	6	43.515665977632224	26	"Alta"	"Urbana"	10	4	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	105
"Inverno"	"Sudeste"	2	28.564508182123728	19	"Mediana"	"Urbana"	9	97	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	110
"Primavera"	"Sudeste"	2	29.692386008997573	17	"Mediana"	"Rural"	7	96	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	74
"Inverno"	"Nordeste"	8	62.1300760278294	2	"Mediana"	"Urbana"	29	36	"Forte"	"NaoAtivou"	"Base"	"Forte"	233
"Outono"	"Nordeste"	8	61.77633566523473	9	"Mediana"	"Urbana"	28	29	"Forte"	"NaoAtivou"	"Base"	"Forte"	242
"Outono"	"Centro-Oeste"	12	42.132476483140806	27	"Alta"	"Urbana"	10	9	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	109
"Outono"	"Norte"	13	18.286673427758117	-9	"Baixa"	"Urbana"	13	8	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	137
"Inverno"	"Nordeste"	7	65.63369111950084	6	"Mediana"	"Rural"	25	25	"Forte"	"NaoAtivou"	"Neutra"	"Moderada"	214
"Outono"	"Sudeste"	3	34.86985579324903	19	"Mediana"	"Urbana"	21	75	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	137
"Primavera"	"Centro-Oeste"	5	43.28865754741365	25	"Alta"	"Rural"	10	3	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	141
"Verao"	"Norte"	10	17.464531488328596	-12	"Baixa"	"Rural"	13	22	"Forte"	"NaoAtivou"	"Base"	"Moderada"	205
"Outono"	"Centro-Oeste"	11	43.476408116354314	24	"Alta"	"Urbana"	11	9	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	174
"Primavera"	"Norte"	9	17.623714638373656	-14	"Baixa"	"Urbana"	24	21	"Forte"	"NaoAtivou"	"Base"	"Moderada"	159
"Verao"	"Centro-Oeste"	5	44.846443703643644	24	"Alta"	"Urbana"	11	112	"Massivo"	"Ativou"	"Acida"	"Moderada"	516
"Outono"	"Sul"	15	1.6099504957762436	32	"Alta"	"Rural"	24	102	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	95
"Verao"	"Norte"	10	11.358976882760851	-12	"Baixa"	"Rural"	12	113	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	108
"Outono"	"Nordeste"	6	65.83738380015909	5	"Mediana"	"Urbana"	26	31	"Forte"	"NaoAtivou"	"Acida"	"Forte"	215
"Verao"	"Centro-Oeste"	6	40.95251129907587	25	"Alta"	"Urbana"	11	5	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	158
"Outono"	"Centro-Oeste"	4	41.827919874543376	21	"Alta"	"Urbana"	10	5	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	175
"Primavera"	"Centro-Oeste"	4	44.99718552352074	20	"Mediana"	"Rural"	10	2	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	123
"Verao"	"Nordeste"	7	62.26641679454797	6	"Mediana"	"Urbana"	29	24	"Forte"	"NaoAtivou"	"Neutra"	"Forte"	241
"Verao"	"Nordeste"	6	66.68088941903916	6	"Mediana"	"Rural"	29	12	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	151
"Primavera"	"Nordeste"	6	63.228804031184666	0	"Baixa"	"Urbana"	29	23	"Forte"	"NaoAtivou"	"Acida"	"Forte"	230
"Primavera"	"Sudeste"	2	32.810786610978944	17	"Mediana"	"Rural"	9	82	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	138
"Primavera"	"Sudeste"	3	33.71332839549848	15	"Mediana"	"Rural"	9	75	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	141
"Primavera"	"Norte"	10	18.27111911073208	25	"Alta"	"Rural"	12	26	"Forte"	"NaoAtivou"	"Base"	"Moderada"	192
"Primavera"	"Sudeste"	3	29.27933472802292	15	"Mediana"	"Rural"	29	85	"Massivo"	"NaoAtivou"	"Acida"	"Forte"	123
"Verao"	"Centro-Oeste"	4	44.50713912927123	27	"Alta"	"Urbana"	11	1	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	132
"Primavera"	"Sudeste"	3	26.797107351352174	17	"Mediana"	"Rural"	24	86	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	122
"Outono"	"Sul"	1	3.9620735570062884	33	"Alta"	"Rural"	22	105	"Massivo"	"Ativou"	"Acida"	"Moderada"	523
"Outono"	"Sudeste"	3	27.07364799681863	15	"Mediana"	"Urbana"	27	96	"Massivo"	"Ativou"	"Acida"	"Forte"	527
"Inverno"	"Sudeste"	3	33.271983300208	17	"Mediana"	"Rural"	9	85	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	119
"Outono"	"Norte"	13	15.732571720453022	21	"Alta"	"Rural"	13	23	"Forte"	"NaoAtivou"	"Base"	"Moderada"	192
"Inverno"	"Sudeste"	2	29.89812553691064	16	"Mediana"	"Urbana"	1	74	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	138
"Inverno"	"Norte"	13	15.708701677460283	20	"Mediana"	"Urbana"	12	10	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	121
"Inverno"	"Norte"	10	16.833407395412216	29	"Alta"	"Rural"	12	126	"Furacao"	"Ativou"	"Base"	"Moderada"	502
"Primavera"	"Norte"	10	19.64882627645685	30	"Alta"	"Urbana"	12	13	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	135
"Inverno"	"Norte"	12	11.909817242538026	-6	"Baixa"	"Urbana"	25	24	"Forte"	"NaoAtivou"	"Base"	"Moderada"	236
"Inverno"	"Sudeste"	12	33.23654935795307	19	"Mediana"	"Urbana"	7	83	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	134
"Outono"	"Centro-Oeste"	4	44.398533794226836	28	"Alta"	"Urbana"	11	5	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	131
"Outono"	"Sudeste"	2	34.17550025842565	18	"Mediana"	"Rural"	27	94	"Massivo"	"NaoAtivou"	"Acida"	"Forte"	148
"Inverno"	"Sudeste"	4	27.10016443312211	15	"Mediana"	"Urbana"	26	84	"Massivo"	"Ativou"	"Acida"	"Forte"	585
"Verao"	"Sul"	2	3.2316044712881986	29	"Alta"	"Urbana"	21	108	"Massivo"	"Ativou"	"Acida"	"Moderada"	529
"Inverno"	"Nordeste"	6	60.826596214229475	4	"Mediana"	"Urbana"	26	10	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	171
"Inverno"	"Sudeste"	2	30.368193461203155	15	"Mediana"	"Urbana"	2	96	"Massivo"	"NaoAtivou"	"Acida"	"Muito Forte"	110
"Outono"	"Norte"	13	10.370223859935981	-13	"Baixa"	"Urbana"	13	12	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	173
"Primavera"	"Sul"	2	2.3814818852132094	29	"Alta"	"Rural"	24	106	"Massivo"	"Ativou"	"Acida"	"Moderada"	585
"Primavera"	"Sudeste"	3	28.95549956819367	15	"Mediana"	"Rural"	1	75	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	129
"Primavera"	"Norte"	9	11.186667731499629	23	"Alta"	"Urbana"	12	27	"Forte"	"NaoAtivou"	"Base"	"Moderada"	229
"Primavera"	"Sudeste"	4	31.441990662533183	15	"Mediana"	"Rural"	8	71	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	126
"Inverno"	"Norte"	13	14.478982362299938	20	"Mediana"	"Rural"	12	6	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	149
"Verao"	"Nordeste"	6	63.6634684439698	3	"Mediana"	"Rural"	25	28	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	200
"Inverno"	"Sul"	0	1.6521505505761187	28	"Alta"	"Urbana"	21	91	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	86
"Primavera"	"Centro-Oeste"	4	42.11320905991082	21	"Alta"	"Rural"	11	2	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	172
"Primavera"	"Centro-Oeste"	6	42.70451447493831	25	"Alta"	"Rural"	10	11	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	106
"Inverno"	"Sudeste"	12	28.410165480174168	16	"Mediana"	"Rural"	9	92	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	50
"Outono"	"Sudeste"	4	27.853179271669852	15	"Mediana"	"Rural"	4	78	"Muito Forte"	"NaoAtivou"	"Acida"	"Muito Forte"	136
"Verao"	"Norte"	9	16.583482547949185	-13	"Baixa"	"Urbana"	13	25	"Forte"	"NaoAtivou"	"Base"	"Moderada"	194
"Verao"	"Sul"	2	2.768352329125981	31	"Alta"	"Urbana"	20	110	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	59
"Inverno"	"Norte"	11	14.194593379939995	-12	"Baixa"	"Rural"	12	113	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	82
"Verao"	"Nordeste"	7	63.25037276852967	3	"Mediana"	"Urbana"	29	6	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	118
"Inverno"	"Sul"	2	2.490530347027951	31	"Alta"	"Rural"	24	118	"Furacao"	"NaoAtivou"	"Acida"	"Moderada"	429
"Inverno"	"Norte"	10	18.319566556440883	-5	"Baixa"	"Rural"	13	14	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	130
"Verao"	"Nordeste"	7	68.35022172702013	3	"Mediana"	"Urbana"	28	12	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	145
"Verao"	"Sudeste"	2	25.277676618321767	16	"Mediana"	"Urbana"	6	85	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	99
"Primavera"	"Norte"	9	17.073350129659993	25	"Alta"	"Rural"	13	27	"Forte"	"NaoAtivou"	"Base"	"Moderada"	231
"Verao"	"Nordeste"	6	68.98083887130379	6	"Mediana"	"Urbana"	29	30	"Forte"	"NaoAtivou"	"Acida"	"Forte"	173
"Inverno"	"Nordeste"	6	69.13370566181739	4	"Mediana"	"Urbana"	25	20	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	115
"Inverno"	"Norte"	13	19.58664577563769	29	"Alta"	"Rural"	13	9	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	121
"Inverno"	"Sul"	1	4.654748679249893	34	"Alta"	"Urbana"	24	103	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	97
"Primavera"	"Sudeste"	2	28.190673093110114	18	"Mediana"	"Rural"	9	97	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	54
"Verao"	"Nordeste"	6	68.80005786954726	0	"Baixa"	"Rural"	28	23	"Forte"	"NaoAtivou"	"Acida"	"Forte"	196
"Inverno"	"Nordeste"	7	61.86010672782183	4	"Mediana"	"Urbana"	26	13	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	177
"Outono"	"Norte"	9	12.065543506186591	30	"Alta"	"Rural"	24	8	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	110
"Outono"	"Centro-Oeste"	4	43.54528779156202	25	"Alta"	"Urbana"	10	16	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	161
"Outono"	"Centro-Oeste"	6	44.8693472108909	24	"Alta"	"Rural"	11	16	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	158
"Verao"	"Sul"	2	1.9933228512090624	25	"Alta"	"Urbana"	21	99	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	142
"Inverno"	"Sudeste"	2	28.4988512463529	17	"Mediana"	"Urbana"	21	88	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	142
"Outono"	"Nordeste"	7	61.42299827255141	8	"Mediana"	"Rural"	25	35	"Forte"	"NaoAtivou"	"Neutra"	"Moderada"	229
"Verao"	"Nordeste"	6	64.51906010580419	3	"Mediana"	"Rural"	27	18	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	159
"Inverno"	"Sudeste"	4	29.650973660757153	18	"Mediana"	"Urbana"	2	92	"Massivo"	"NaoAtivou"	"Acida"	"Muito Forte"	147
"Inverno"	"Sul"	1	1.9658702619694086	34	"Alta"	"Urbana"	24	105	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	89
"Primavera"	"Centro-Oeste"	4	44.7716659687392	24	"Alta"	"Rural"	11	11	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	172
"Verao"	"Norte"	11	12.001329930588142	-4	"Baixa"	"Urbana"	12	113	"Massivo"	"Ativou"	"Base"	"Moderada"	591
"Inverno"	"Norte"	9	14.044662901256135	-15	"Baixa"	"Rural"	12	19	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	155
"Primavera"	"Centro-Oeste"	6	41.15379875470981	27	"Alta"	"Rural"	11	3	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	168
"Outono"	"Sul"	2	3.501233526705521	25	"Alta"	"Rural"	23	114	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	96
"Primavera"	"Nordeste"	7	60.76333107406917	7	"Mediana"	"Urbana"	26	25	"Forte"	"NaoAtivou"	"Neutra"	"Forte"	171
"Verao"	"Centro-Oeste"	5	42.68714543208412	27	"Alta"	"Rural"	11	2	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	143
"Outono"	"Nordeste"	8	67.14567876567328	5	"Mediana"	"Rural"	27	1	"Moderado"	"NaoAtivou"	"Base"	"Forte"	108
"Inverno"	"Sul"	2	2.5776478278049337	31	"Alta"	"Urbana"	24	96	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	55
"Outono"	"Centro-Oeste"	6	43.12337873772995	22	"Alta"	"Urbana"	10	7	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	176
"Outono"	"Norte"	13	12.4682817579021	26	"Alta"	"Rural"	13	2	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	175
"Inverno"	"Norte"	13	19.032447882749906	-4	"Baixa"	"Urbana"	12	20	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	160
"Verao"	"Sudeste"	2	31.74327747642721	19	"Mediana"	"Rural"	6	84	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	67
"Inverno"	"Sul"	1	3.273928509253939	31	"Alta"	"Rural"	21	118	"Furacao"	"Ativou"	"Acida"	"Moderada"	595
"Verao"	"Sudeste"	2	29.573298742615407	18	"Mediana"	"Urbana"	9	88	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	146
"Verao"	"Norte"	12	12.284918465340285	24	"Alta"	"Urbana"	24	7	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	110
"Outono"	"Nordeste"	6	66.86435771510898	6	"Mediana"	"Urbana"	28	16	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	101
"Primavera"	"Sul"	14	2.9446610863996643	29	"Alta"	"Rural"	24	112	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	115
"Primavera"	"Sul"	2	4.992874043530171	26	"Alta"	"Rural"	24	91	"Massivo"	"Ativou"	"Acida"	"Moderada"	571
"Inverno"	"Sul"	0	4.691853886823407	31	"Alta"	"Rural"	24	96	"Massivo"	"Ativou"	"Acida"	"Moderada"	509
"Verao"	"Centro-Oeste"	6	43.689958529189695	23	"Alta"	"Urbana"	11	106	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	121
"Outono"	"Sudeste"	3	32.45305892911028	16	"Mediana"	"Urbana"	5	98	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	72
"Primavera"	"Sul"	0	2.768966595592322	27	"Alta"	"Rural"	20	97	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	70
"Outono"	"Centro-Oeste"	6	43.95223815334129	22	"Alta"	"Urbana"	10	18	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	161
"Primavera"	"Centro-Oeste"	5	43.47080720846994	21	"Alta"	"Rural"	11	19	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	167
"Outono"	"Sul"	0	3.684815634511363	32	"Alta"	"Rural"	23	22	"Forte"	"NaoAtivou"	"Acida"	"Moderada"	214
"Primavera"	"Nordeste"	7	69.75387631929061	9	"Mediana"	"Urbana"	29	9	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	153
"Verao"	"Centro-Oeste"	5	44.63301561679061	28	"Alta"	"Urbana"	11	3	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	171
"Verao"	"Centro-Oeste"	5	40.21453796067846	20	"Mediana"	"Urbana"	10	17	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	174
"Primavera"	"Sul"	1	3.1772779019052484	28	"Alta"	"Rural"	22	106	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	100
"Inverno"	"Centro-Oeste"	5	40.93522373003001	23	"Alta"	"Urbana"	11	111	"Massivo"	"Ativou"	"Acida"	"Moderada"	509
"Verao"	"Sul"	15	2.1907754027993507	30	"Alta"	"Urbana"	24	112	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	99
"Inverno"	"Nordeste"	7	61.77966031986425	1	"Mediana"	"Urbana"	27	35	"Forte"	"NaoAtivou"	"Neutra"	"Forte"	165
"Verao"	"Sudeste"	2	27.449700510834983	17	"Mediana"	"Rural"	2	79	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	129
"Outono"	"Nordeste"	7	64.05957543489286	6	"Mediana"	"Urbana"	25	1	"Moderado"	"NaoAtivou"	"Neutra"	"Moderada"	147
"Primavera"	"Sudeste"	4	33.712655145170444	16	"Mediana"	"Urbana"	4	97	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	148
"Primavera"	"Sul"	2	1.7146160187557138	34	"Alta"	"Rural"	23	92	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	128
"Outono"	"Centro-Oeste"	13	42.86652715589413	25	"Alta"	"Rural"	10	11	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	166
"Verao"	"Sul"	0	1.3835709982252462	32	"Alta"	"Rural"	20	102	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	147
"Primavera"	"Norte"	2	19.700491964000857	31	"Alta"	"Urbana"	24	118	"Furacao"	"Ativou"	"Acida"	"Moderada"	511
"Outono"	"Sul"	14	4.073948258282478	31	"Alta"	"Rural"	23	113	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	108
"Inverno"	"Centro-Oeste"	6	44.15009592745201	26	"Alta"	"Rural"	10	12	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	145
"Primavera"	"Nordeste"	8	60.71727191372954	9	"Mediana"	"Rural"	29	26	"Forte"	"NaoAtivou"	"Base"	"Forte"	249
"Inverno"	"Nordeste"	6	66.03214725208063	6	"Mediana"	"Rural"	26	5	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	114
"Primavera"	"Sul"	0	3.874602085684545	33	"Alta"	"Urbana"	21	106	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	59
"Verao"	"Sudeste"	3	30.701306232395673	19	"Mediana"	"Urbana"	9	77	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	121
"Inverno"	"Norte"	11	11.540728700205067	-6	"Baixa"	"Rural"	25	102	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	65
"Verao"	"Sudeste"	3	34.822493349297304	16	"Mediana"	"Urbana"	2	72	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	132
"Inverno"	"Sul"	0	1.492001551338915	27	"Alta"	"Urbana"	22	102	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	144
"Inverno"	"Sul"	0	1.1125148864059184	30	"Alta"	"Urbana"	22	109	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	122
"Primavera"	"Norte"	12	11.705225684634593	29	"Alta"	"Rural"	13	119	"Furacao"	"Ativou"	"Base"	"Moderada"	573
"Inverno"	"Norte"	9	14.88708371976838	-15	"Baixa"	"Urbana"	13	8	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	108
"Outono"	"Centro-Oeste"	4	43.376885763439375	21	"Alta"	"Urbana"	10	110	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	70
"Outono"	"Norte"	12	11.957869682736309	28	"Alta"	"Rural"	13	115	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	145
"Inverno"	"Nordeste"	6	62.95173526596188	6	"Mediana"	"Rural"	27	10	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	125
"Inverno"	"Sul"	15	3.055224518427245	30	"Alta"	"Urbana"	21	110	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	81
"Inverno"	"Sul"	2	4.687856236913539	31	"Alta"	"Rural"	22	107	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	127
"Inverno"	"Centro-Oeste"	4	42.449818857748	21	"Alta"	"Rural"	10	14	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	119
"Verao"	"Sudeste"	2	29.509669992109053	15	"Mediana"	"Rural"	2	74	"Muito Forte"	"NaoAtivou"	"Acida"	"Forte"	138
"Inverno"	"Nordeste"	7	61.61356291949697	8	"Mediana"	"Urbana"	26	9	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	175
"Verao"	"Norte"	13	12.444986654352233	-9	"Baixa"	"Urbana"	12	3	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	119
"Verao"	"Sul"	0	4.6571191999869574	31	"Alta"	"Urbana"	20	111	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	96
"Outono"	"Nordeste"	7	65.98385184319342	5	"Mediana"	"Urbana"	26	4	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	149
"Outono"	"Norte"	11	13.099693419380563	-5	"Baixa"	"Urbana"	24	15	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	172
"Primavera"	"Centro-Oeste"	6	44.63057631300129	21	"Alta"	"Rural"	11	9	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	103
"Primavera"	"Sudeste"	3	25.83927406119657	19	"Mediana"	"Rural"	6	91	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	68
"Outono"	"Centro-Oeste"	6	40.87875717442008	23	"Alta"	"Urbana"	10	6	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	124
"Verao"	"Sul"	1	1.4761019143864846	29	"Alta"	"Rural"	21	118	"Furacao"	"Ativou"	"Acida"	"Moderada"	578
"Outono"	"Nordeste"	8	68.38417299131886	0	"Baixa"	"Rural"	26	2	"Moderado"	"NaoAtivou"	"Base"	"Forte"	123
"Verao"	"Centro-Oeste"	6	41.3759093169201	27	"Alta"	"Urbana"	10	7	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	137
"Verao"	"Sul"	14	2.5667095858150564	32	"Alta"	"Urbana"	24	96	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	139
"Primavera"	"Centro-Oeste"	5	44.16288067589358	24	"Alta"	"Rural"	11	4	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	132
"Inverno"	"Nordeste"	6	60.154872229579304	6	"Mediana"	"Urbana"	26	16	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	148
"Outono"	"Sudeste"	4	27.105649570513116	17	"Mediana"	"Urbana"	8	96	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	53
"Primavera"	"Nordeste"	8	69.78193160037333	6	"Mediana"	"Urbana"	26	9	"Moderado"	"NaoAtivou"	"Base"	"Forte"	137
"Primavera"	"Sudeste"	3	29.332451187329816	18	"Mediana"	"Rural"	9	73	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	141
"Primavera"	"Sudeste"	4	31.369832357933646	19	"Mediana"	"Rural"	24	76	"Muito Forte"	"NaoAtivou"	"Acida"	"Moderada"	136
"Verao"	"Centro-Oeste"	13	42.143818184816155	28	"Alta"	"Urbana"	11	106	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	62
"Outono"	"Sul"	1	2.803785871791723	26	"Alta"	"Rural"	24	98	"Massivo"	"Ativou"	"Acida"	"Moderada"	596
"Primavera"	"Sul"	0	3.9722090913003383	32	"Alta"	"Urbana"	23	107	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	80
"Primavera"	"Nordeste"	7	65.16023762094575	9	"Mediana"	"Urbana"	25	21	"Forte"	"NaoAtivou"	"Neutra"	"Moderada"	227
"Primavera"	"Sudeste"	2	29.512326444976708	17	"Mediana"	"Rural"	3	93	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	61
"Inverno"	"Sudeste"	4	30.754600620486812	17	"Mediana"	"Urbana"	1	97	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	50
"Inverno"	"Sul"	13	4.512108329666011	34	"Alta"	"Urbana"	24	95	"Massivo"	"Ativou"	"Base"	"Moderada"	550
"Verao"	"Nordeste"	7	66.09484807259163	4	"Mediana"	"Urbana"	27	17	"Moderado"	"NaoAtivou"	"Neutra"	"Forte"	150
"Inverno"	"Nordeste"	6	65.64731906012368	6	"Mediana"	"Urbana"	28	9	"Moderado"	"NaoAtivou"	"Acida"	"Forte"	143
"Inverno"	"Centro-Oeste"	5	43.37072545201066	26	"Alta"	"Rural"	10	19	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	118
"Outono"	"Sul"	14	3.0851521762143452	32	"Alta"	"Rural"	21	98	"Massivo"	"Ativou"	"Base"	"Moderada"	578
"Inverno"	"Centro-Oeste"	6	43.36964050188114	22	"Alta"	"Urbana"	10	6	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	128
"Inverno"	"Norte"	11	13.493253434413635	-13	"Baixa"	"Urbana"	12	17	"Moderado"	"NaoAtivou"	"Base"	"Moderada"	131
"Primavera"	"Nordeste"	8	64.38308053724387	8	"Mediana"	"Urbana"	25	28	"Forte"	"NaoAtivou"	"Base"	"Moderada"	162
"Inverno"	"Sudeste"	3	31.081835318277566	17	"Mediana"	"Urbana"	1	87	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	136
"Outono"	"Nordeste"	7	68.44260790881283	2	"Mediana"	"Urbana"	27	31	"Forte"	"NaoAtivou"	"Neutra"	"Forte"	243
"Outono"	"Norte"	13	14.255921155225177	22	"Alta"	"Rural"	13	115	"Massivo"	"NaoAtivou"	"Base"	"Moderada"	51
"Primavera"	"Nordeste"	8	67.83433214650144	0	"Baixa"	"Urbana"	25	35	"Forte"	"NaoAtivou"	"Base"	"Moderada"	157
"Outono"	"Sudeste"	2	27.103422237086892	15	"Mediana"	"Urbana"	6	81	"Massivo"	"NaoAtivou"	"Acida"	"Moderada"	100
"Inverno"	"Centro-Oeste"	4	44.57974753978911	26	"Alta"	"Urbana"	10	18	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	175
"Outono"	"Norte"	10	10.96437810891678	-4	"Baixa"	"Rural"	25	26	"Forte"	"NaoAtivou"	"Base"	"Moderada"	226
"Verao"	"Centro-Oeste"	4	40.840927915517106	26	"Alta"	"Urbana"	10	9	"Moderado"	"NaoAtivou"	"Acida"	"Moderada"	128
